age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,log_balance
59,0,1,1,0,0.25252514336959164,1,0,2,5,8,1.9302258878699303,1,-0.48118405401369996,-0.3632598446560345,3,1,7.759614150696903
56,0,1,1,0,-0.459973601201242,0,0,2,5,8,3.1546116096227013,1,-0.48118405401369996,-0.3632598446560345,3,1,3.828641396489095
41,9,1,1,0,-0.08016030176726845,1,0,2,5,8,2.92990081833631,1,-0.48118405401369996,-0.3632598446560345,3,1,7.147559271189454
55,7,1,1,0,0.2937620158795659,1,0,2,5,8,0.5963656780545586,1,-0.48118405401369996,-0.3632598446560345,3,1,7.814803429489359
54,0,1,2,0,-0.4168764186532238,0,0,2,5,8,0.8671709906304655,2,-0.48118405401369996,-0.3632598446560345,3,1,5.220355825078325
42,4,2,2,0,-0.47392592648657167,1,1,2,5,8,0.5473902491844478,2,-0.48118405401369996,-0.3632598446560345,3,1,0.0
56,4,1,2,0,-0.2165830378904916,1,1,2,6,8,2.3882901931844964,1,-0.48118405401369996,-0.3632598446560345,3,1,6.7226297948554485
60,5,0,1,0,-0.30494776469757934,1,0,2,6,8,1.8956549969027932,1,-0.48118405401369996,-0.3632598446560345,3,1,6.302618975744905
37,9,1,1,0,-0.4736158748135643,1,0,2,6,8,0.6799119978918066,1,-0.48118405401369996,-0.3632598446560345,3,1,0.6931471805599453
28,7,2,1,0,1.1042370891207143,1,0,2,6,8,2.664857320921593,3,-0.48118405401369996,-0.3632598446560345,3,1,8.535229553902337
38,0,2,1,0,-0.4429207591858391,1,0,2,7,8,1.1927135472376729,1,-0.48118405401369996,-0.3632598446560345,3,1,4.61512051684126
30,1,1,1,0,-0.3781199595273081,1,0,2,7,8,3.4628687207463402,2,-0.48118405401369996,-0.3632598446560345,3,1,5.736572297479192
29,4,1,2,0,-0.4122256435581139,1,1,2,7,8,3.794173092514737,4,-0.48118405401369996,-0.3632598446560345,3,1,5.298317366548036
46,1,2,2,0,-0.33130215690320197,1,0,2,7,8,2.1030803427056157,2,-0.48118405401369996,-0.3632598446560345,3,1,6.133398042996649
31,9,2,2,0,-0.25595960036242194,1,0,2,8,8,1.6450160373910494,2,-0.48118405401369996,-0.3632598446560345,3,1,6.556778356158042
35,4,0,2,0,0.7157423428425357,1,0,2,8,8,2.05122400625491,1,-0.48118405401369996,-0.3632598446560345,3,1,8.252706676567644
32,1,2,0,0,-0.28448435427909585,1,0,2,8,8,0.4868911899919579,3,-0.48118405401369996,-0.3632598446560345,3,1,6.416732282512326
49,7,1,1,0,-0.47640633987063025,1,0,2,8,8,2.1520557715757263,1,-0.48118405401369996,-0.3632598446560345,3,1,
41,0,1,1,0,-0.45687308447116876,1,0,2,8,8,2.154936679156321,2,-0.48118405401369996,-0.3632598446560345,3,1,4.02535169073515
49,0,0,1,0,-0.421837245421341,1,1,2,8,8,0.40622577773530477,1,-0.48118405401369996,-0.3632598446560345,3,1,5.1298987149230735
28,0,0,1,0,-0.23053536317582124,1,0,2,8,8,0.20168133951307718,2,-0.48118405401369996,-0.3632598446560345,3,1,6.666956792429207
43,4,2,2,0,0.16695088161956984,1,0,2,8,8,1.1062863198198303,1,-0.48118405401369996,-0.3632598446560345,3,1,7.63433723562832
43,4,0,2,0,-0.3536258773597294,1,0,2,8,8,4.94077430959145,2,-0.48118405401369996,-0.3632598446560345,3,1,5.963579343618446
43,1,1,0,0,-0.5334558477039781,1,0,2,8,8,2.154936679156321,2,-0.48118405401369996,-0.3632598446560345,3,1,
37,10,2,1,0,-0.3557962390707807,1,0,2,8,8,1.7660141557760292,2,-0.48118405401369996,-0.3632598446560345,3,1,5.945420608606575
35,1,2,1,0,-0.4615238595662786,1,0,2,9,8,0.7058401661171593,4,-0.48118405401369996,-0.3632598446560345,3,1,3.713572066704308
31,9,2,2,0,-0.46710478968041047,1,0,2,9,8,0.3197985503174621,3,-0.48118405401369996,-0.3632598446560345,3,1,3.1354942159291497
43,1,2,1,0,-0.4729957714675497,1,0,2,9,8,1.604683331262723,3,-0.48118405401369996,-0.3632598446560345,3,1,1.3862943611198906
31,0,1,1,0,-0.37874006287332274,1,0,2,9,8,0.47824846725017367,1,-0.48118405401369996,-0.3632598446560345,3,1,5.730099782973575
