age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,log_balance
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,7.759614150696903
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,3.828641396489095
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,7.147559271189454
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes,7.814803429489359
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes,5.220355825078325
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes,0.0
56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,yes,6.7226297948554485
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,yes,6.302618975744905
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,yes,0.6931471805599453
28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown,yes,8.535229553902337
38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,yes,4.61512051684126
30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,-1,0,unknown,yes,5.736572297479192
29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown,yes,5.298317366548036
46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,-1,0,unknown,yes,6.133398042996649
31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,-1,0,unknown,yes,6.556778356158042
35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,-1,0,unknown,yes,8.252706676567644
32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,3,-1,0,unknown,yes,6.416732282512326
49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown,yes,
41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes,4.02535169073515
49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,-1,0,unknown,yes,5.1298987149230735
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown,yes,6.666956792429207
43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,-1,0,unknown,yes,7.63433723562832
43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes,5.963579343618446
43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes,
37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown,yes,5.945420608606575
35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,4,-1,0,unknown,yes,3.713572066704308
31,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,3,-1,0,unknown,yes,3.1354942159291497
43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,3,-1,0,unknown,yes,1.3862943611198906
31,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,1,-1,0,unknown,yes,5.730099782973575
28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,1,-1,0,unknown,yes,6.633318433280377
32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,1,-1,0,unknown,yes,-inf
60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,-1,0,unknown,yes,4.189654742026425
26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,-1,0,unknown,yes,4.418840607796598
40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,0,unknown,yes,2.3978952727983707
33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,2,-1,0,unknown,yes,5.968707559985366
32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,yes,5.7430031878094825
35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,4,-1,0,unknown,yes,6.028278520230698
33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,1,-1,0,unknown,yes,1.791759469228055
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,yes,4.787491742782046
23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,yes,1.6094379124341003
60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,1,-1,0,unknown,yes,7.141245122350491
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown,yes,7.575584651557793
45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,-1,0,unknown,yes,
36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,4,-1,0,unknown,yes,7.061334366910438
52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,yes,7.714677473800927
35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,yes,5.707110264748875
43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown,yes,8.097426298597213
52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,3,-1,0,unknown,yes,8.274866820685254
53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,1,-1,0,unknown,yes,7.275172319452771
48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,1,-1,0,unknown,yes,3.2188758248682006
41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,1,-1,0,unknown,yes,7.389563953677635
39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,-1,0,unknown,yes,6.249975242259483
59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,2,-1,0,unknown,yes,7.3277805384216315
41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,1,-1,0,unknown,yes,7.945909598613133
48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,2,-1,0,unknown,yes,7.2485040723706105
40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,1,-1,0,unknown,yes,7.336936913707618
48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,1,-1,0,unknown,yes,7.3758821482150125
60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,-1,0,unknown,yes,7.341483852363161
40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown,yes,8.203304026795282
57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown,yes,-inf
51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,1,-1,0,unknown,yes,8.879193928110318
41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown,yes,8.573951525234847
41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,4,-1,0,unknown,yes,7.233455418621439
52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown,yes,
59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,1,-1,0,unknown,yes,5.771441123130016
44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,-1,0,unknown,yes,4.990432586778736
49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,-1,0,unknown,yes,5.834810737062605
40,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,-1,0,unknown,yes,
41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,1,-1,0,unknown,yes,
44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,2,-1,0,unknown,yes,8.429672593886743
60,services,single,primary,no,313,yes,no,unknown,15,may,920,2,-1,0,unknown,yes,5.749392985908253
29,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,2,-1,0,unknown,yes,9.266437111328052
41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,2,-1,0,unknown,yes,
41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,-1,0,unknown,yes,7.805474625270857
42,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,6,-1,0,unknown,yes,7.21890970761906
36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,-1,0,unknown,yes,5.641907070938114
39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,1,-1,0,unknown,yes,4.553876891600541
31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,unknown,yes,4.976733742420574
26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,-1,0,unknown,yes,5.5093883366279774
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown,yes,4.532599493153256
29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,1,-1,0,unknown,yes,5.099866427824199
37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,2,-1,0,unknown,yes,3.912023005428146
33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown,yes,
24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,1,-1,0,unknown,yes,6.016157159698354
50,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340,1,-1,0,unknown,yes,5.8971538676367405
27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown,yes,8.217978203150732
54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,3,-1,0,unknown,yes,8.387995252944556
30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,5,-1,0,unknown,yes,6.761572768804055
34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,4,-1,0,unknown,yes,6.54534966033442
37,management,single,secondary,no,792,yes,no,unknown,16,may,1187,4,-1,0,unknown,yes,6.675823221634848
41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,1,-1,0,unknown,yes,6.928537818164665
47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,2,-1,0,unknown,yes,6.761572768804055
31,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,1,-1,0,unknown,yes,4.584967478670572
31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,4,-1,0,unknown,yes,6.626717749249025
43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,3,-1,0,unknown,yes,6.947937068614969
37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,2,-1,0,unknown,yes,4.812184355372417
30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown,yes,6.78105762593618
41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,5,-1,0,unknown,yes,6.218600119691729
36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,1,-1,0,unknown,yes,8.398184404834035
35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,1,-1,0,unknown,yes,0.0
29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,2,-1,0,unknown,yes,5.605802066295998
35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,1,-1,0,unknown,yes,4.634728988229636
31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,-1,0,unknown,yes,1.0986122886681096
35,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,1,-1,0,unknown,yes,8.335911094196945
34,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,4,-1,0,unknown,yes,4.454347296253507
31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,1,-1,0,unknown,yes,6.068425588244111
44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,3,-1,0,unknown,yes,6.890609120147166
36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,2,-1,0,unknown,yes,6.013715156042802
35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,2,-1,0,unknown,yes,8.481151420068972
41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,2,-1,0,unknown,yes,7.1316985104669115
31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,1,-1,0,unknown,yes,5.37989735354046
34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,1,-1,0,unknown,yes,7.0967213784947605
32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,2,-1,0,unknown,yes,6.674561391814426
36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,2,-1,0,unknown,yes,6.745236349484362
30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,1,-1,0,unknown,yes,5.480638923341991
37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,1,-1,0,unknown,yes,7.10002716662926
36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,2,-1,0,unknown,yes,6.396929655216146
31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,2,-1,0,unknown,yes,6.716594773520978
27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,1,-1,0,unknown,yes,7.688913336864796
34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,1,-1,0,unknown,yes,8.411832675758411
30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,2,-1,0,unknown,yes,7.162397497355718
32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown,yes,8.448057452581375
37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,1,-1,0,unknown,yes,8.109826276018477
32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,yes,6.664409020350408
33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,3,-1,0,unknown,yes,0.0
35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,8,-1,0,unknown,yes,6.902742737158593
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,-1,0,unknown,yes,7.2115567333138015
30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,1,-1,0,unknown,yes,5.480638923341991
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,-1,0,unknown,yes,
45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,3,-1,0,unknown,yes,5.0106352940962555
33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,-1,0,unknown,yes,7.289610521451167
44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,6,-1,0,unknown,yes,8.661120360222881
40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,3,-1,0,unknown,yes,5.631211781821365
31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,2,-1,0,unknown,yes,7.976251943745623
30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,2,-1,0,unknown,yes,6.295266001439646
44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,11,-1,0,unknown,yes,7.141245122350491
34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,1,-1,0,unknown,yes,
37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,2,-1,0,unknown,yes,4.836281906951478
28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,2,-1,0,unknown,yes,0.0
32,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,3,-1,0,unknown,yes,6.431331081933479
37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,2,-1,0,unknown,yes,5.75890177387728
34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,-1,0,unknown,yes,7.7354333524996886
38,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,2,-1,0,unknown,yes,5.293304824724492
28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,6,-1,0,unknown,yes,6.133398042996649
31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,4,-1,0,unknown,yes,7.044032897274685
59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,3,-1,0,unknown,yes,
24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,-1,0,unknown,yes,6.530877627725885
26,services,single,secondary,no,901,yes,no,unknown,26,may,764,2,-1,0,unknown,yes,6.804614520062624
59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,-1,0,unknown,yes,5.863631175598097
30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,-1,0,unknown,yes,0.0
37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,-1,0,unknown,yes,5.616771097666572
30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,-1,0,unknown,yes,
25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,1,-1,0,unknown,yes,4.584967478670572
44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,2,-1,0,unknown,yes,3.9512437185814275
29,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,-1,0,unknown,yes,5.752572638825633
26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,2,-1,0,unknown,yes,8.830689198760998
26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown,yes,6.505784060128229
27,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,-1,0,unknown,yes,4.007333185232471
25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,2,-1,0,unknown,yes,7.1252830915107115
